A	B	C	D	E	F
XXX4	0	30	56.196	30	860377
XXX4	1	59	113.343	29	392749
XXX4	2	74	143.460	15	998445
XXX4	3	91	178.313	17	44343
XXX4	4	104	205.382	13	212235
XXX4	5	126	252.027	22	775803
XXX4	6	138	277.883	12	937990
XXX4	7	157	319.601	19	981405
XXX4	8	170	348.646	13	955950
XXX4	9	189	391.879	19	996467
XXX4	10	212	445.088	23	545126
ZZZ4	0	107	132.676	107	907498
ZZZ4	1	199	246.755	92	987359
ZZZ4	2	280	347.196	81	249658
ZZZ4	3	349	432.760	69	871088
ZZZ4	4	404	500.965	55	934933
ZZZ4	5	457	566.692	53	626373
ZZZ4	6	513	636.142	56	163081
ZZZ4	7	556	689.471	43	283750
ZZZ4	8	591	732.879	35	903731
ZZZ4	9	623	772.568	32	510256
ZZZ4	10	667	827.141	44	973628
